Host_Time_s,Raw_V3,Force_N,Raw_V3_Filtered
1771577232.968019,73.0,1.5032573496729948,73.0
1771577232.969686,78.3,2.3836180074925384,78.3
1771577232.969831,60.2,-0.6228966918534511,60.2
1771577232.997755,80.85,2.8071877579528848,80.85
1771577232.999576,69.3,0.8886659470442559,69.3
1771577232.999924,63.4,-0.0913581814718402,63.4
1771577233.029838,72.65,1.4451203251000069,72.65
1771577233.030082,76.9,2.1510699092005847,76.9
1771577233.030239,52.45,-1.9102165216839166,52.45
1771577233.057858,88.9,4.144339323131629,88.9
1771577233.059494,62.2,-0.29068512286494386,62.2
1771577233.059570,47.5,-2.7324401549304724,47.5
1771577233.117802,65.25,0.21593751984252924,65.25
1771577233.119556,72.0,1.3371515651787411,72.0
1771577233.119839,87.6,3.9284018032890966,87.6
1771577233.122705,73.2,1.536478506571846,73.2
1771577233.122987,70.6,1.1046034668867852,70.6
1771577233.123186,108.8,7.449844434567273,73.2
1771577233.150152,75.85,1.9766588354816166,75.85
1771577233.150630,78.95,2.4915867674138044,78.95
1771577233.150912,45.0,-3.1477046161661066,74.95
1771577233.177731,74.95,1.82716362943679,74.95
1771577233.179560,73.2,1.536478506571846,73.2
1771577233.179646,84.05,3.3387262683344967,84.05
1771577233.207779,70.15,1.029855863864373,70.15
1771577233.209812,76.2,2.034795860054607,76.2
1771577233.209906,92.9,4.808762461108643,92.9
1771577233.238211,53.1,-1.802247761762652,53.1
1771577233.239444,78.2,2.367007429043114,78.2
1771577233.239525,81.2,2.865324782525875,81.2
1771577233.268077,77.7,2.2839545367959873,77.7
1771577233.269470,61.45,-0.41526446123563404,61.45
1771577233.299697,86.5,3.7456854403454187,86.5
1771577233.299845,61.8,-0.35712743666264624,61.8
1771577233.300264,49.95,-2.325480982919551,49.95
1771577233.327613,63.05,-0.1494952060448292,63.05
1771577233.329572,42.5,-3.5629690774017404,42.5
1771577233.329658,57.75,-1.029855863864373,57.75
1771577233.357586,78.3,2.3836180074925384,78.3
1771577233.359453,45.0,-3.1477046161661066,45.0
1771577233.359659,66.05,0.34882214743793166,66.05
1771577233.387643,39.2,-4.111118166232777,39.2
1771577233.388974,48.85,-2.50819734586323,48.85
1771577233.419238,75.5,1.9185218109086288,75.5
1771577233.419441,66.75,0.46509619658390966,66.75
1771577233.419590,65.4,0.2408533875166682,65.4
1771577233.447342,56.95,-1.1627404914597754,56.95
1771577233.449196,66.0,0.3405168582132194,66.0
1771577233.449523,63.1,-0.1411899168201158,63.1
1771577233.449625,45.5,-3.06465172391898,45.5
1771577233.477636,68.35,0.7308654517747145,68.35
1771577233.479135,72.35,1.3952885897517289,72.35
1771577233.479241,64.8,0.14118991682011464,64.8
1771577233.507658,79.45,2.574639659660931,79.45
1771577233.509229,54.55,-1.561394374245985,54.55
1771577233.509245,76.25,2.043101149279319,76.25
1771577233.537577,69.85,0.9800241285160949,69.85
1771577233.539178,64.3,0.05813702457298782,64.3
1771577233.539347,69.1,0.8554447901454048,69.1
1771577233.567693,55.75,-1.3620674328528801,55.75
1771577233.569161,38.35,-4.252308083052893,38.35
1771577233.569208,73.45,1.5780049526954094,73.45
1771577233.597736,64.85,0.14949520604482683,64.85
1771577233.599520,73.25,1.5447837957965582,73.25
1771577233.599686,86.2,3.695853704997143,86.2
1771577233.658442,70.6,1.1046034668867852,70.6
1771577233.660253,74.8,1.802247761762651,74.8
1771577233.660602,56.8,-1.1876563591339142,56.8
1771577233.660664,62.95,-0.16610578449425362,62.95
1771577233.663189,46.35,-2.923461807098864,46.35
1771577233.663414,76.4,2.068017016953458,76.4
1771577233.689128,69.85,0.9800241285160949,69.85
1771577233.689263,67.65,0.6145914026287389,67.65
1771577233.719366,34.7,-4.858594196456918,34.7
1771577233.719578,60.0,-0.6561178487523023,60.0
1771577233.719628,56.3,-1.2707092513810412,56.3
1771577233.747881,73.5,1.5863102419201216,73.5
1771577233.749347,58.55,-0.8969712362689705,58.55
1771577233.749566,64.6,0.10796875992126344,64.6
1771577233.777569,66.65,0.44848561813448523,66.65
1771577233.779471,71.95,1.328846275954029,71.95
1771577233.779669,59.7,-0.7059495841005778,59.7
1771577233.809492,52.1,-1.9683535462569055,52.1
1771577233.809774,67.2,0.5398437996063242,67.2
1771577233.809974,61.7,-0.3737380151120706,61.7
1771577233.837603,87.05,3.8370436218172577,87.05
1771577233.839387,62.9,-0.174411073718967,62.9
1771577233.839533,79.85,2.6410819734586313,79.85
1771577233.867670,85.95,3.65432725887358,85.95
1771577233.869291,71.3,1.2208775160327632,71.3
1771577233.869474,64.9,0.1578004952695414,64.9
1771577233.897697,94.05,4.999784113277033,94.05
1771577233.899540,77.9,2.3171756936948382,77.9
1771577233.899814,54.6,-1.5530890850212715,54.6
1771577233.928084,65.15,0.1993269413931048,65.15
1771577233.929315,35.85,-4.667572544288527,35.85
1771577233.957490,56.75,-1.1959616483586266,56.75
1771577233.959501,81.2,2.865324782525875,81.2
1771577233.959621,59.45,-0.7474760302241412,59.45
1771577233.962267,41.0,-3.812127754143121,41.0
1771577233.989940,84.35,3.3885580036827725,84.35
1771577233.990044,71.3,1.2208775160327632,71.3
1771577234.017382,71.9,1.3205409867293167,71.9
1771577234.019542,92.55,4.750625436535652,92.55
1771577234.019643,91.45,4.5679090735919745,91.45
1771577234.021587,54.75,-1.5281732173471338,54.75
1771577234.049766,86.65,3.7706013080195575,86.65
1771577234.049857,65.7,0.29068512286494386,65.7
1771577234.078035,57.35,-1.0962981776620742,57.35
1771577234.079613,80.9,2.815493047177599,80.9
1771577234.079702,47.4,-2.749050733379898,47.4
1771577234.082349,63.1,-0.1411899168201158,63.1
1771577234.109642,68.45,0.7474760302241412,68.45
1771577234.109894,37.35,-4.418413867547146,37.35
1771577234.138076,97.15,5.514712045209221,97.15
1771577234.139982,76.05,2.0098799923804678,76.05
1771577234.140105,57.2,-1.1212140453362118,57.2
1771577234.168476,71.4,1.23748809448219,71.4
1771577234.171456,52.95,-1.82716362943679,52.95
1771577234.171537,67.55,0.5979808241793121,67.55
1771577234.199932,70.65,1.1129087561114996,70.65
1771577234.200024,79.35,2.558029081211504,79.35
1771577234.200245,63.95,0.0,63.95
1771577234.227975,70.2,1.038161153089085,70.2
1771577234.229741,65.8,0.30729570131436823,65.8
1771577234.229831,70.0,1.0049399961902339,70.0
1771577234.257929,81.4,2.898545939424726,81.4
1771577234.259808,63.4,-0.0913581814718402,63.4
1771577234.259896,84.65,3.4383897390310505,84.65
1771577234.288035,79.2,2.5331132135373675,79.2
1771577234.289291,70.55,1.0962981776620728,70.55
1771577234.319749,62.4,-0.25746396596609383,62.4
1771577234.319931,59.55,-0.7308654517747168,59.55
1771577234.320287,52.5,-1.9019112324592045,52.5
1771577234.347587,78.95,2.4915867674138044,78.95
1771577234.349530,59.15,-0.7973077655724181,59.15
1771577234.349620,46.8,-2.8487142040764506,46.8
1771577234.349872,66.35,0.3986538827862073,66.35
1771577234.377944,69.3,0.8886659470442559,69.3
1771577234.379826,81.75,2.956682963997714,81.75
1771577234.379914,73.85,1.6444472664931093,73.85
1771577234.408077,51.9,-2.001574703155757,51.9
1771577234.409496,74.95,1.82716362943679,74.95
1771577234.409585,54.05,-1.6444472664931118,54.05
1771577234.437945,68.95,0.8305289224712681,68.95
1771577234.439791,68.4,0.739170740999429,68.4
1771577234.439905,69.35,0.8969712362689681,69.35
1771577234.468058,47.4,-2.749050733379898,47.4
1771577234.469668,49.1,-2.4666708997396665,49.1
1771577234.469751,56.5,-1.23748809448219,56.5
1771577234.497946,51.75,-2.026490570829895,51.75
1771577234.499905,68.55,0.7640866086735657,68.55
1771577234.500002,72.1,1.3537621436281655,72.1
1771577234.558320,69.65,0.9468029716172461,69.65
1771577234.560231,48.0,-2.6493872626833457,48.0
1771577234.560365,69.4,0.9052765254936826,69.4
1771577234.560670,87.2,3.8619594894913964,87.2
1771577234.561802,63.55,-0.0664423137977024,63.55
1771577234.561899,53.95,-1.6610578449425362,53.95
1771577234.589564,43.9,-3.330420979109786,43.9
1771577234.589658,64.7,0.12457933837069021,64.7
1771577234.617281,66.45,0.41526446123563404,66.45
1771577234.619214,72.65,1.4451203251000069,72.65
1771577234.619467,65.5,0.2574639659660926,65.5
1771577234.647411,48.95,-2.4915867674138044,48.95
1771577234.649541,73.25,1.5447837957965582,73.25
1771577234.649771,41.6,-3.7124642834465686,41.6
1771577234.677829,63.2,-0.12457933837069021,63.2
1771577234.679424,58.35,-0.9301923931678205,58.35
1771577234.679560,62.85,-0.1827163629436792,62.85
1771577234.707893,73.35,1.5613943742459826,73.35
1771577234.709508,71.4,1.23748809448219,71.4
1771577234.709590,60.7,-0.5398437996063242,60.7
1771577234.768029,85.35,3.554663788177026,85.35
1771577234.769871,62.15,-0.2989904120896572,62.15
1771577234.769954,76.8,2.134459330751158,76.8
1771577234.770312,86.15,3.6875484157724308,86.15
1771577234.771511,65.0,0.17441107371896583,65.0
1771577234.771653,72.45,1.4118991682011557,72.45
1771577234.799811,87.95,3.986538827862087,87.95
1771577234.799916,45.85,-3.0065146993459906,45.85
1771577234.800234,51.15,-2.126154041526447,51.15
1771577234.829753,83.5,3.2473680868626578,83.5
1771577234.829893,66.65,0.44848561813448523,66.65
1771577234.830257,71.0,1.1710457806844876,71.0
1771577234.857979,77.55,2.259038669121848,77.55
1771577234.859835,81.2,2.865324782525875,81.2
1771577234.859932,73.05,1.511562638897707,73.05
1771577234.888414,86.2,3.695853704997143,86.2
1771577234.889534,58.65,-0.8803606578195449,58.65
1771577234.917297,53.6,-1.7191948695155252,53.6
1771577234.919201,75.65,1.9434376785827678,75.65
1771577234.919467,63.45,-0.08305289224712681,63.45
1771577234.947307,64.35,0.06644231379770003,64.35
1771577234.949321,43.2,-3.4466950282557627,43.2
1771577234.949605,59.6,-0.7225601625500034,59.6
1771577234.949694,73.6,1.602920820369546,73.6
1771577234.977879,88.2,4.02806527398565,64.35
1771577234.979247,66.25,0.38204330433678285,66.25
1771577235.007756,62.15,-0.2989904120896572,62.15
1771577235.009558,63.85,-0.0166105784494256,63.85
1771577235.009766,66.45,0.41526446123563404,66.45
1771577235.037738,68.45,0.7474760302241412,68.45
1771577235.039471,66.95,0.49831735348276085,66.95
1771577235.039568,50.3,-2.267343958346563,50.3
1771577235.067572,67.55,0.5979808241793121,67.55
1771577235.068923,60.05,-0.6478125595275901,60.05
1771577235.097301,62.65,-0.2159375198425304,62.65
1771577235.099120,79.6,2.5995555273350677,79.6
1771577235.099335,74.65,1.777331894088514,74.65
1771577235.099374,78.8,2.466670899739665,78.8
1771577235.128016,67.7,0.6228966918534511,67.7
1771577235.129525,49.7,-2.367007429043114,49.7
1771577235.129652,48.45,-2.574639659660931,48.45
1771577235.157717,97.75,5.614375515905771,97.75
1771577235.159356,51.0,-2.1510699092005847,51.0
1771577235.159613,62.2,-0.29068512286494386,62.2
1771577235.187750,62.4,-0.25746396596609383,62.4
1771577235.189119,83.25,3.205841640739094,83.25
1771577235.217209,45.35,-3.0895675915931173,45.35
1771577235.219145,66.3,0.39034859356149504,66.3
1771577235.219369,84.55,3.4217791605816235,84.55
1771577235.249318,78.65,2.4417550320655286,78.65
1771577235.249712,80.65,2.773966601054036,80.65
1771577235.249803,62.0,-0.32390627976379505,62.0
1771577235.251307,59.1,-0.8056130547971303,59.1
1771577235.279725,65.8,0.30729570131436823,65.8
1771577235.279839,52.4,-1.91852181090863,52.4
1771577235.280129,65.45,0.24915867674138042,65.45
1771577235.308365,60.95,-0.49831735348276085,60.95
1771577235.311372,63.3,-0.1079687599212658,63.3
1771577235.311460,41.5,-3.7290748618959944,41.5
1771577235.339901,68.55,0.7640866086735657,68.55
1771577235.340041,45.8,-3.014819988570704,45.8
1771577235.340342,55.3,-1.4368150358752947,55.3
1771577235.367900,75.6,1.9351323893580532,75.6
1771577235.369835,57.15,-1.1295193345609253,57.15
1771577235.369908,61.9,-0.34051685821322064,61.9
1771577235.398208,75.55,1.926827100133341,75.55
1771577235.400502,55.9,-1.3371515651787422,55.9
