Host_Time_s,Raw_V3,Force_N,Raw_V3_Filtered
1771577809.438189,-32.5,0.6934916502635083,-32.5
1771577809.440183,-8.4,4.696641056575021,-8.4
1771577809.440542,-76.3,-6.5819417105847995,-76.3
1771577809.500556,-44.6,-1.3163883421169607,-44.6
1771577809.500722,-11.35,4.206628992316972,-11.35
1771577809.501048,-33.25,0.5689123118928182,-33.25
1771577809.501121,-24.25,2.0638643723411008,-24.25
1771577809.502223,-41.85,-0.8595974347577632,-41.85
1771577809.502290,-61.95,-4.198323703092261,-61.95
1771577809.502485,-53.35,-2.7698139564416797,-53.35
1771577809.531085,22.1,9.762867483649757,22.1
1771577809.531273,-55.15,-3.0688043685313358,-55.15
1771577809.560551,-58.65,-3.6501746142612235,-58.65
1771577809.560974,4.15,6.7812686519779035,4.15
1771577809.561375,-46.8,-1.681821068004318,-46.8
1771577809.561505,-43.7,-1.1668931360721326,-43.7
1771577809.588653,-21.4,2.537265858149724,-21.4
1771577809.590858,-51.9,-2.5289605689250116,-51.9
1771577809.590953,-35.85,0.13703727220775852,-35.85
1771577809.618686,-20.7,2.653539907295701,-20.7
1771577809.620734,-55.2,-3.0771096577560493,-55.2
1771577809.620801,-49.55,-2.1386119753635153,-49.55
1771577809.678803,-41.2,-0.7516286748364985,-41.2
1771577809.680735,-62.4,-4.273071306114675,-62.4
1771577809.680816,-28.3,1.3911359451393734,-28.3
1771577809.680891,-29.55,1.1835037145215563,-29.55
1771577809.682306,-39.1,-0.4028065273985657,-39.1
1771577809.682394,-17.4,3.2016889961267383,-17.4
1771577809.709846,-22.45,2.3628547844307572,-22.45
1771577809.711117,-35.75,0.15364785065718412,-35.75
1771577809.743068,-3.75,5.4690329544733,-3.75
1771577809.743251,-48.3,-1.9309797447456982,-48.3
1771577809.770615,-44.05,-1.2250301606451204,-44.05
1771577809.770770,-20.6,2.6701504857451264,-20.6
1771577809.771099,-64.2,-4.572061718204332,-64.2
1771577809.771174,-39.9,-0.5356911549939681,-39.9
1771577809.800901,-5.0,5.261400723855483,-5.0
1771577809.801193,-54.8,-3.010667343958347,-54.8
1771577809.801512,-39.25,-0.42772239507270354,-39.25
1771577809.828624,4.75,6.880932122674456,4.75
1771577809.830390,-43.95,-1.208419582195696,-43.95
1771577809.830526,-26.95,1.615378754206616,-26.95
1771577809.859254,-26.1,1.7565686710267312,-26.1
1771577809.862466,-33.65,0.5024699980951169,-33.65
1771577809.862600,-52.7,-2.661845196520415,-52.7
1771577809.890506,-22.35,2.3794653628801825,-22.35
1771577809.890631,-51.8,-2.512349990475586,-51.8
1771577809.890949,-35.15,0.2533113213537365,-35.15
1771577809.948521,-19.35,2.877782716362943,-19.35
1771577809.950276,-52.7,-2.661845196520415,-52.7
1771577809.950655,-45.6,-1.4824941266112142,-45.6
1771577809.950877,-25.95,1.7814845387008698,-25.95
1771577809.953094,-18.6,3.0023620547336334,-18.6
1771577809.953178,-30.15,1.0838402438250045,-30.15
1771577809.981035,-8.2,4.729862213473871,-8.2
1771577809.981117,-49.45,-2.122001396914091,-49.45
1771577809.981310,-48.95,-2.038948504666964,-48.95
1771577810.010537,-24.3,2.055559083116388,-24.3
1771577810.010642,-51.5,-2.46251825512731,-51.5
1771577810.038403,-54.4,-2.9442250301606454,-54.4
1771577810.040214,-19.1,2.9193091624865066,-19.1
1771577810.040313,-52.85,-2.686761064194553,-52.85
1771577810.068910,-43.05,-1.0589243761508669,-43.05
1771577810.070671,-36.65,0.004152644612356105,-36.65
1771577810.070781,-45.85,-1.5240205727347775,-45.85
1771577810.098726,-43.65,-1.1585878468474191,-43.65
1771577810.100643,-26.6,1.6735157787796044,-26.6
1771577810.100793,-47.75,-1.8396215632738593,-47.75
1771577810.128626,-37.55,-0.14534256143247193,-37.55
1771577810.130393,-38.55,-0.31144834592672554,-38.55
1771577810.130459,-42.95,-1.0423137977014423,-42.95
1771577810.158491,-22.65,2.3296336275319067,-22.65
1771577810.160337,-50.5,-2.2964124706330566,-50.5
1771577810.160531,-51.2,-2.412686519779035,-51.2
1771577810.188688,-8.35,4.704946345799733,-8.35
1771577810.190443,-58.15,-3.5671217220140967,-58.15
1771577810.190534,-31.25,0.9011238808813254,-31.25
1771577810.248791,-31.2,0.9094291701060382,-31.2
1771577810.249991,-63.3,-4.422566512159502,-63.3
1771577810.250062,-54.35,-2.935919740935933,-54.35
1771577810.252059,-31.6,0.8429868563083364,-31.6
1771577810.252153,-69.8,-5.502254111372151,-69.8
1771577810.252415,-39.55,-0.47755413042097916,-39.55
1771577810.280221,-4.0,5.427506508349737,-4.0
1771577810.280323,-71.25,-5.743107498888819,-71.25
1771577810.280379,-50.45,-2.2881071814083445,-50.45
1771577810.309294,-30.7,0.992482062353165,-30.7
1771577810.310778,-62.65,-4.314597752238238,-62.65
1771577810.339921,-54.55,-2.9691408978347833,-54.55
1771577810.340294,-22.15,2.4126865197790335,-22.15
1771577810.340396,-44.75,-1.3413042097910983,-44.75
1771577810.368307,-60.35,-3.932554447901455,-60.35
1771577810.370103,-18.4,3.035583211632485,-18.4
1771577810.370186,-32.85,0.6353546256905194,-32.85
1771577810.370366,-47.35,-1.773179249476158,-47.35
1771577810.398517,-14.4,3.7000063496094993,-14.4
1771577810.399752,-51.8,-2.512349990475586,-51.8
1771577810.400037,-50.45,-2.2881071814083445,-50.45
1771577810.428635,-34.75,0.31975363515143773,-34.75
1771577810.429882,-40.1,-0.5689123118928193,-40.1
1771577810.430144,-30.35,1.0506190869261534,-30.35
1771577810.458676,-8.9,4.6135881643278935,-8.9
1771577810.459894,-57.45,-3.45084767286812,-57.45
1771577810.459983,-50.8,-2.3462442059813324,-50.8
1771577810.489209,-9.5,4.513924693631342,-9.5
1771577810.490104,-68.15,-5.228179566956634,-68.15
1771577810.518664,-53.1,-2.7282875103181166,-53.1
1771577810.519997,-26.55,1.6818210680043173,-26.55
1771577810.520112,-50.0,-2.21335957838593,-50.0
1771577810.548721,-49.0,-2.0472537938916764,-49.0
1771577810.550138,-52.85,-2.686761064194553,-52.85
1771577810.550244,-39.05,-0.39450123817385235,-39.05
1771577810.578635,-32.7,0.6602704933646572,-32.7
1771577810.580250,-45.3,-1.4326623912629375,-45.3
1771577810.580383,-45.65,-1.4907994158359263,-45.65
1771577810.609166,-25.05,1.9309797447456978,-25.05
1771577810.610880,-62.55,-4.297987173788813,-62.55
1771577810.639930,-31.75,0.8180709886341986,-31.75
1771577810.640063,-3.95,5.435811797574448,-3.95
1771577810.640351,-60.95,-4.032217918598008,-60.95
